Id,LessonId,Gender,Number,Word,Meaning
132,1,,,إِمَّا (إِمَّا شَاكِرٗا وَإِمَّا كَفُورًا),Either .. or
133,1,,,,
134,2,,,رَبّ,Lord/ O Lord
135,2,,,ٱلرَّحۡمَٰنِ ,Entirely Merciful
136,2,,,ٱلرَّحِيم,Especially Merciful
137,2,,,عَزِيز,(All-)Mighty
138,2,,,حَكِيم,(All-)Wise
139,2,,,غَفُور,Most forgiving
140,2,,,حَلِيم,Forbearing
141,2,,,ٱلعَظِيم,Great
142,2,,,ٱلعَلِيّ,Exalted (high)
143,2,,,عَلِيم ,(All-knowing) Knower
144,2,,,خَبِير,Acquainted
145,2,,,سَمِيع,The one who hears everything (all-hearing)
146,2,,,بَصِير,All-seeing
147,2,,,شَكُور ,Appreciative/ Grateful
148,2,,,قَدِير,Competent
149,2,,,وَكِيل,Disposer (of all affairs)
150,2,,,نَصِير,(Strong) helper
151,2,,,حَمِيد,Praiseworthy
152,2,,,تَوَّاب,Acceptor of repentance 
153,2,,,أَوَّل,First
154,2,,,ءَاخِر,Last
155,2,,,قَرِيب,Near
156,2,,,أَقۡرَب,Nearer
157,2,,,بَعِيد,Far
158,2,,, شَدِيد ,Severe / Strong
159,2,,,أَشَدّ ,Stronger / Severer
160,2,,,كَبِير ,Great / Large
161,2,,,أَكۡبَر , Greater / Larger
162,2,,,كَثِير  ,Many 
163,2,,,أَكۡثَر  , Most
164,2,,, سَرِيع ,Swift
165,2,,, أَسۡرَع ,swiftest 
166,2,,,قَلِيل,Little/ few
167,2,,,كَرِيم,Noble
168,2,,,حَفِيظ,Guardian/ Protector
169,2,,,أَحۡسَن,Better
170,2,,,أَظۡلَم,More unjust
171,2,,,أَحَق,More worthy
172,2,,,أَدۡنَى,Nearer/ More likely
173,2,Male,Singular,رَسُول ,Messenger
174,2,,Plural,رُسُل,Messengers
175,2,,Singular,نَبِي,Prophet
176,2,,Plural,أَنۢبِيَآء,Prophets
177,2,,Plural,نَّبِيُّونَ,Prophets
178,2,,Plural,نَّبِيِّـۧنَ,Prophets
179,2,,,أَمِين,Trustworthy/ Honest
180,2,,,نَذِير,Warner
181,2,,,مُوسَىٰ ,Moses
182,2,,, هَٰرُون, Aaron
183,2,,,إِبۡرَٰهِـۧم (إِبۡرَٰهِيم),Abraham
184,2,,, إِسۡمَٰعِيل,Ishmael
185,2,,,نُوح,Noah
186,2,,,يُوسُف,Joseph
187,2,,,لُوط,Lot
188,2,,,عِيسَى ٱبۡنِ مَرۡيَم,"Jesus, son of Mary"
189,2,,,ءَادَم,Adam
190,2,,,سُلَيۡمَٰن,Solomon
191,2,,,إِسۡحَٰق,Isaac
192,2,,, يَعۡقُوب , Jacob 
193,2,,,إِسۡرَٰٓءِيل,Israel
194,2,,,دَاوُۥد,David
195,2,,,زَكَرِيا,Zachariah
196,2,,,يَحۡيَىٰ,John
197,2,,,أَيُّوب,Job
198,2,,,يُونُس (ذَا ٱلنُّون),Jonah
199,2,,,شُعَيۡب (مَدۡيَن),Shu’ayb (Madian)
200,2,,,صَٰلِح (ثَمُود),Salih (Thamud)
201,2,,,هُود (عَاد),Hud (‘Aad)
202,2,,Singular,ءَاية ,Sign/ verse
203,2,,Plural,ءَايات,Signs/ verses
204,2,,,ٱلۡقُرۡءَان,The Quran
205,2,,,ٱلۡإِنجِيل,The Gospel
206,2,,,ٱلتَّوۡرَىٰة,The Torah
207,2,,,أَنۡعَام,Livestock
208,2,,Singular,جَبَل,Mountain
209,2,,Plural,جِبَال,Mountains
210,2,,,بَـحۡر,Sea/ River
211,2,,Singular,نَهَر,River
212,2,,Plural,أَنۡهَٰر,Rivers
213,2,,,شَمۡس,Sun
214,2,,,قَمَر,Moon
215,2,,,لَيۡل,Night
216,2,,,نَهَار,Daytime
217,2,,,أَرۡض,Earth
218,2,,,سَمَآء,Heaven/ Sky
219,2,,,سَمَٰوَٰت,Heavens/ Sky
220,2,,,ءَالَآء,Favors
221,2,,,نِعۡمَة,Favor/ Bounty
222,2,,,فَضۡل,Favor/ Grace
223,2,,,مَآء,Water
224,2,,,دِين,Religion
225,2,,Singular,أَمۡر,Matter/ Command
226,2,,Plural,أُمُور,Matters/ Affairs
227,2,,,صَلَوٰة /صَلَاة,Prayer
228,2,,,زَّكَوٰة,(Zakah) Charity
229,2,,,حَقّ,Truth/ Right
230,2,,,بَٰطِل,Falsehood
231,2,,,حَمۡد,Praise
232,2,,,حِكۡمَة,Wisdom
233,2,,,تَقۡوى,Piety/ Fear of Allah
234,2,,Singular,شَهِيد,Witness
