Id,StageId,LessonId,Audio ID,Gender,Number,Word,Meaning
289,2,8,2-8-5,,,ٱلسَّاعَة,An hour (The Hour)
290,2,8,2-8-6,,,أَجَل,Term
291,2,8,2-8-7,,,مُسَمَّى,Specific
292,2,8,2-8-8,,,حِسَاب,Account
293,2,8,2-8-9,,,ٱلۡأٓخِرَة,The Hereafter
294,2,8,2-8-10,,,أَبَدًا,"Forever, ever"
295,2,8,2-8-11,,,عَٰقِبَة,End
296,2,8,2-8-12,,,جَهَنَّم ,"Hell Fire, hell"
297,2,8,2-8-13,,,نَار, Fire
298,2,8,2-8-14,,,وَيۡل,Woe to
299,2,8,2-8-15,,,عِقَاب,Penalty
300,2,8,2-8-16,,,عَذَاب,Punishment
301,2,8,2-8-17,,,أَلِيم,Painful
302,2,8,2-8-18,,,جَزَاء,Reward/ Recompense
303,2,8,2-8-19,,,ثَواب,Reward
304,2,8,2-8-20,,Singular,جَنَّة ,Paradise/ garden
305,2,8,2-8-21,,Plural,جَنَّٰت,Paradise/ gardens
306,2,9,2-9-1,,,ٱلدُّنۡيَا,This world (present life)
307,2,9,2-9-2,,,عَٰلَمِين,Worlds
308,2,9,2-9-3,,,أَمۡوَٰل,Wealth
309,2,9,2-9-4,,,بَيۡت,House
310,2,9,2-9-5,,,ٱلۡبَيۡت,The Ka’ba
311,2,9,2-9-6,,Singular,دَار ,Home
312,2,9,2-9-7,,Plural,دِيَٰر,Homes
313,2,9,2-9-8,,,مَتَٰع,Provision/ enjoyment
314,2,9,2-9-9,,,مَكَان,Place/ position
315,2,9,2-9-10,,,مَكَان,in place of
316,2,9,2-9-11,,Singular,قَرۡيَة ,City/ Town
317,2,9,2-9-12,,Plural,قُرَىٰ,Cities/ Towns
318,2,9,2-9-13,,,مَدِينَة,City
319,2,9,2-9-14,,,ٱلۡمَدِينَة,Madinah/ the city
320,2,9,2-9-15,,Singular,سَبِيل ,Way
321,2,9,2-9-16,,Plural,سُبُل,Ways
322,2,9,2-9-17,,,صِرَٰط,Path
323,2,9,2-9-18,,Singular,مَسۡجِد ,Mosque
324,2,9,2-9-19,,Plural,مَسَٰجِد,Mosques
325,2,9,2-9-20,,,فِتۡنَة,Trial
326,2,9,2-9-21,,,لِقَآء,Meeting
327,2,10,2-10-1,,,ذِي ٱلۡقُرۡبَى,Relatives
328,2,10,2-10-2,,,ٱلۡوَٰلِدَيۡن,Parents
329,2,10,2-10-3,,,أُمّ,Mother
330,2,10,2-10-4,,Singular,أَبّ,Father
331,2,10,2-10-5,,,أَبَتِ,O father
332,2,10,2-10-6,,Plural,ءَابَآء,Forefathers/ Ancestors
333,2,10,2-10-7,,,زَوۡج,(Spouse) Husband/ Wife
334,2,10,2-10-8,,,رَجُل,Man
335,2,10,2-10-9,,,ٱمۡرَأة,Woman
336,2,10,2-10-10,,,ٱمۡرَأة / ٱمۡرَأت, Wife
337,2,10,2-10-11,,,ذُرِّيَّة,Offspring
338,2,10,2-10-12,,Singular,وَلَد ,Son (child)
339,2,10,2-10-13,,Plural,أَوۡلَٰد,Sons (children)
340,2,10,2-10-14,,Singular,ٱبۡن ,Son
341,2,10,2-10-15,,Plural,أَبۡنَآء,Sons
342,2,10,2-10-16,,,إِخۡوَٰن,Brothers
343,2,10,2-10-17,,Singular,وَلِيّ ,Guardian/ Supporter
344,2,10,2-10-18,,Plural,أَوۡلِيَآء,Guardians/ Supporters
345,2,10,2-10-19,,,ذَكَر,Male
346,2,10,2-10-20,,,أُنثَى,Female
347,2,11,2-11-1,,Singular,وَجۡه,Face/ Countenance
348,2,11,2-11-2,,Plural,وُجُوه,Faces
349,2,11,2-11-3,,,أَبۡصَٰر,Vision
350,2,11,2-11-4,,Singular,صَدۡر,Breast/chest
351,2,11,2-11-5,,Plural, صُدُور,Breasts/ chests
352,2,11,2-11-6,,Singular,قَلۡب ,Heart
353,2,11,2-11-7,,Plural,قُلُوب,Hearts
354,2,11,2-11-8,,Singular,نَفۡس ,Soul
355,2,11,2-11-9,,Plural,أَنفُس,Souls
356,2,11,2-11-10,,,رُوح,Spirit/ Soul
357,2,11,2-11-11,,,قُوة,Power (strength)
358,2,11,2-11-12,,,نَاس,People
359,2,11,2-11-13,,,قَوۡم,People
360,2,11,2-11-14,,Singular,أُمَّة ,Nation
361,2,11,2-11-15,,Plural,أُمَم,Nations
362,2,11,2-11-16,,,إِنسَٰن,Man (mankind)
363,2,11,2-11-17,,,مَلَأ,Eminent (chiefs)
364,2,11,2-11-18,,Singular,عَبۡد ,Servant
365,2,11,2-11-19,,Plural,عِبَاد,Servants
366,2,11,2-11-20,,Singular,عَدُو ,Enemy
367,2,11,2-11-21,,Plural,أَعۡدَآء,Enemies
368,2,11,2-11-22,,Plural,مُجۡرِمِين,Criminals
369,2,11,2-11-23,,,فَرِيق,Party 
370,2,11,2-11-24,,,فِئَة ,Party / Group
371,2,11,2-11-25,,,طَآئِفَة ,Party / Group
372,2,11,2-11-26,,, أَجۡمَعِينَ,All/ Everybody /Everyone
373,2,11,2-11-27,,, أَجۡمَعُونَ,All/ Everybody /Everyone
374,2,11,2-11-28,,,جَمِيع,All/ Everybody /Everyone
375,2,11,2-11-29,,,سَوَآء,Same/ Equal/ Straight
376,2,11,2-11-30,,,ٱسۡم,Name
377,2,11,2-11-31,,Singular,صَاحِب ,Companion Inmate
378,2,11,2-11-32,,Plural,أَصۡحَٰب,Companion (Inmates)
379,2,11,2-11-33,,,فِرۡعَوۡن,Pharaoh
380,2,12,2-12-1,,Plural,نَصَٰرَىٰ,Christians
381,2,12,2-12-2,,Plural,نِسَآء,Women/ wives
382,2,12,2-12-3,,Plural,رِجَال,Men
383,2,12,2-12-4,,Plural,عِظَٰم,Bones
384,2,12,2-12-5,,Plural,مَوۡتَىٰ,The dead
385,2,12,2-12-6,,Plural,أَيۡدِي,Hands
386,2,12,2-12-7,,Plural,أَعۡيُن,Eyes
387,2,12,2-12-8,,Plural,أَزۡوَٰج,Spouses
388,2,12,2-12-9,,Plural,أَهۡوَآء,Inclinations/ Desires
389,2,12,2-12-10,,Plural,أَلۡبَٰب,Minds/ Understanding
390,2,12,2-12-11,,Plural,أَبۡوَٰب,Doors/ Gates
391,2,12,2-12-12,,Plural,أَيۡمَٰن,Oaths
392,,,,,,,
393,3,1,3-1-1,,,بَدَّلَ,to (Ex)Change
394,3,1,3-1-2,,,بَشََّّرَ,to Give good news
395,3,1,3-1-3,,,بَيَّنَ,to Make clear
396,3,1,3-1-4,,,زَيَّنَ,to Decorate (figuratively)/to Make sth seem good
397,3,1,3-1-5,,,سَبَّحَ,to Glorify/ Exalt
398,3,1,3-1-6,,,سَخَّرَ,to Subject
399,3,1,3-1-7,,,صَدَّقَ,to Confirm/ Believe
400,3,1,3-1-8,,,عَذَّبَ,"to Torment, to Punish"
401,3,1,3-1-9,,,عَلَّمَ,to Teach
402,3,1,3-1-10,,,قَدَّمَ,to Send forward
403,3,1,3-1-11,,,كَذَّبَ,to Accuse of falsehood
404,3,1,3-1-12,,,نَبَّأَ,"to Declare, to Inform"
405,3,1,3-1-13,,,نَزَّلَ,to Send down
406,3,1,3-1-14,,,نَجََّّىٰ,to Rescue 
407,3,1,3-1-15,,,وَلََّّىٰ,"to Turn away, to Turn "
408,3,2,3-2-1,,,جَٰهَدَ,to Struggle/ to Strive
409,3,2,3-2-2,,,قَٰتَلَ,to Fight
410,3,2,3-2-3,,,نَادَىٰ,to Call out/ to Cry unto
411,3,2,3-2-4,,,نَافَقَ,to Play hypocrisy
412,3,2,3-2-5,,,هَاجَرَ,to Migrate
413,3,3,3-3-1,,,أَبصَرَ,to See/ to Watch
414,3,3,3-3-2,,,أَحسَنَ,to Do good
415,3,3,3-3-3,,,أَخرَجَ,to Bring out/ forth
416,3,3,3-3-4,,,أَدخَلَ,to Admit (someone) into..
417,3,3,3-3-5,,,أَرجَعَ,to Return
418,3,3,3-3-6,,,أَرسَلَ,to Send
419,3,3,3-3-7,,,أَسرَفَ,to Be extravagant
420,3,3,3-3-8,,,أَسلَمَ,to Submit/ Surrender
421,3,3,3-3-9,,,أَشرَكَ ,to Associate a partner
422,3,3,3-3-10,,,أَصبَحَ,to Become
423,3,3,3-3-11,,,أَصلَحَ,to Become good
424,3,3,3-3-12,,,أَعۡرَضَ,to Turn away
425,3,3,3-3-13,,,أَغۡرَقَ,to Drown
426,3,3,3-3-14,,,أَفۡسَدَ,To Spread Corruption
427,3,3,3-3-15,,,أَفۡلَحَ,To Succeed
428,3,4,3-4-1,,,أَنۢبَتَ,to Make sth Grow
429,3,4,3-4-2,,,أَنذَرَ,to Warn
430,3,4,3-4-3,,,أَنزَلَ,to Send Down
431,3,4,3-4-4,,,أَنشَأَ,to Create/ Produce
432,3,4,3-4-5,,,أَنعَمَ ,to Favor/ bestow Grace
433,3,4,3-4-6,,,أَنفَقَ,to Spend
434,3,4,3-4-7,,,أَنكَرَ,to Deny
435,3,4,3-4-8,,,أَهۡلَكَ,to Destroy
436,3,4,3-4-9,,,أَخۡفَىٰ,to Conceal
437,3,4,3-4-10,,,أَغۡنَىٰ,to Avail/ aid
438,3,4,3-4-11,,,أَلۡقَىٰ,to Throw/Cast /Place
439,3,4,3-4-12,,,أَنجَىٰ,to Rescue/ Save/ Deliver
440,3,4,3-4-13,,,أَوۡحَىٰ,to Reveal/ Inspire
441,3,4,3-4-14,,,أَوۡفَىٰ,to Fulfill
442,3,4,3-4-15,,,أَحۡيَا,To make alive
443,3,5,3-5-1,,,تَفَكَّرَ,To ponder (think) over/ reflect
444,3,5,3-5-2,,,تَذَكَّرَ,to Remember
445,3,5,3-5-3,,,تَوَكَّّلَ,to Rely on
446,3,5,3-5-4,,,تَبَيَّنَ,to Become clear
447,3,5,3-5-5,,,تَرَبَّصَ,"to turn away/ To Wait, watch for opportunity"
448,3,5,3-5-6,,,تَوَلَّّى,to take/ to take for a friend
449,3,5,3-5-7,,,تَوَفَّّى,to receive in full
450,3,6,3-6-1,,,تَبَارَكَ,To be blessed/ exalted
451,3,6,3-6-2,,,تسََاءَلَ,to Wonder
452,3,7,3-7-1,,,ٱنَۡقَلَبَ,to Return/ Turn around
453,3,7,3-7-2,,,ٱنَۡتَهى,to Desist/ Cease
454,3,8,3-8-1,,,ٱخۡتَلَفَ,to Differ/ Alternate
455,3,8,3-8-2,,,ٱتَّبَعَ,to Follow
456,3,8,3-8-3,,,ٱتَّّخَذَ,to Take
457,3,8,3-8-4,,,ٱتَّقَى,to Fear Allah
458,3,8,3-8-5,,,ٱهۡتَدى,to be guided/ Follow the right path
459,3,8,3-8-6,,,ٱبۡتَغِى,To seek
460,3,9,3-9-1,,,ٱسۡوَدَّ,to Become black
461,3,9,3-9-2,,,ٱبۡيَضَّ,to Become white
462,3,9,3-9-3,,,ٱخۡضَرَّ,to Become green
463,3,10,3-10-1,,,ٱسۡتَعۡجَلَ,to Be impatient/ Urge impatiently
464,3,10,3-10-2,,,ٱسۡتَغۡفَرَ,to Seek forgiveness
465,3,10,3-10-3,,,ٱسۡتَكۡبَرَ,to Be arrogant
466,3,10,3-10-4,,,ٱسۡتَهۡزَأَ,to Mock/ Ridicule
